,Unnamed: 0,model,language_exposure,kdims,isoscore,checkpoint
0,0,B-GPT_en_nl_simultaneous,simultaneous,756.6961695756008,0.9852622810633648,0
1,1,B-GPT_en_nl_simultaneous,simultaneous,146.2495172866371,0.1893735557844029,10000
2,2,B-GPT_en_nl_simultaneous,simultaneous,136.93067432207394,0.1772238257132646,20000
3,3,B-GPT_en_nl_simultaneous,simultaneous,141.0996843045011,0.1826593015704055,30000
4,4,B-GPT_en_nl_simultaneous,simultaneous,144.75151689391384,0.1874204913871106,40000
5,5,B-GPT_en_nl_simultaneous,simultaneous,147.724159742671,0.1912961665484628,50000
6,6,B-GPT_en_nl_simultaneous,simultaneous,150.52843764347972,0.1949523306955407,64000
7,7,B-GPT_en_nl_simultaneous,simultaneous,150.69608061443904,0.1951709004099596,64010
8,8,B-GPT_en_nl_simultaneous,simultaneous,150.91129148357882,0.1954514882445617,64020
9,9,B-GPT_en_nl_simultaneous,simultaneous,151.10302010266847,0.1957014603685377,64030
10,10,B-GPT_en_nl_simultaneous,simultaneous,151.22422805325934,0.1958594889873003,64040
11,11,B-GPT_en_nl_simultaneous,simultaneous,151.30388638924083,0.1959633460094404,64050
12,12,B-GPT_en_nl_simultaneous,simultaneous,151.36079532692833,0.1960375427991242,64060
13,13,B-GPT_en_nl_simultaneous,simultaneous,151.4153361171307,0.1961086520431952,64070
14,14,B-GPT_en_nl_simultaneous,simultaneous,151.46530573335747,0.1961738014776499,64080
15,15,B-GPT_en_nl_simultaneous,simultaneous,151.51208839735358,0.1962347958244505,64090
16,16,B-GPT_en_nl_simultaneous,simultaneous,151.5551795098675,0.1962909771966981,64100
17,17,B-GPT_en_nl_simultaneous,simultaneous,151.59485918676896,0.1963427108041316,64110
18,18,B-GPT_en_nl_simultaneous,simultaneous,151.62832041370467,0.1963863369148692,64120
19,19,B-GPT_en_nl_simultaneous,simultaneous,151.66243480310587,0.1964308146063962,64130
20,20,B-GPT_en_nl_simultaneous,simultaneous,151.69686813265477,0.1964757081260166,64140
21,21,B-GPT_en_nl_simultaneous,simultaneous,151.7287215287063,0.1965172379774528,64150
22,22,B-GPT_en_nl_simultaneous,simultaneous,151.75981893535467,0.1965577821842955,64160
23,23,B-GPT_en_nl_simultaneous,simultaneous,151.79095659250035,0.1965983788689704,64170
24,24,B-GPT_en_nl_simultaneous,simultaneous,151.81925504908006,0.1966352738579922,64180
25,25,B-GPT_en_nl_simultaneous,simultaneous,151.84679707628516,0.1966711826287942,64190
26,26,B-GPT_en_nl_simultaneous,simultaneous,151.87581222598297,0.1967090120286609,64200
27,27,B-GPT_en_nl_simultaneous,simultaneous,152.13614114972745,0.1970484239240253,64300
28,28,B-GPT_en_nl_simultaneous,simultaneous,152.38357683598454,0.197371025861779,64400
29,29,B-GPT_en_nl_simultaneous,simultaneous,152.60957598344388,0.1976656792482971,64500
30,30,B-GPT_en_nl_simultaneous,simultaneous,152.81721519118796,0.1979363952948995,64600
31,31,B-GPT_en_nl_simultaneous,simultaneous,153.02848327677606,0.1982118426033586,64700
32,32,B-GPT_en_nl_simultaneous,simultaneous,153.22636858389578,0.1984698416999945,64800
33,33,B-GPT_en_nl_simultaneous,simultaneous,153.43683881805185,0.1987442487849437,64900
34,34,B-GPT_en_nl_simultaneous,simultaneous,153.6301821460079,0.1989963261356035,65000
35,35,B-GPT_en_nl_simultaneous,simultaneous,155.46880620625217,0.2013934891867694,66000
36,36,B-GPT_en_nl_simultaneous,simultaneous,157.14184286770902,0.2035747625393859,67000
37,37,B-GPT_en_nl_simultaneous,simultaneous,158.7177935371985,0.2056294570237268,68000
38,38,B-GPT_en_nl_simultaneous,simultaneous,160.19794640028854,0.2075592521516148,69000
39,39,B-GPT_en_nl_simultaneous,simultaneous,161.60637489088654,0.2093955344079355,70000
40,40,B-GPT_en_nl_simultaneous,simultaneous,172.55440126380958,0.2236693627950581,80000
41,41,B-GPT_en_nl_simultaneous,simultaneous,179.95488765715402,0.2333179760849465,90000
42,42,B-GPT_en_nl_simultaneous,simultaneous,185.02853026053376,0.2399328947334208,100000
43,43,B-GPT_en_nl_simultaneous,simultaneous,188.31620769156905,0.2442193059864003,110000
44,44,B-GPT_en_nl_simultaneous,simultaneous,190.06100281165803,0.2464941366514446,120000
45,45,B-GPT_en_nl_simultaneous,simultaneous,190.4733156386101,0.2470317022667667,128000
46,46,B-GPT_en_nl_sequential,sequential,756.6961695756008,0.9852622810633648,0
47,47,B-GPT_en_nl_sequential,sequential,114.36892405903944,0.1478082451877958,10000
48,48,B-GPT_en_nl_sequential,sequential,106.4574619037176,0.1374934314259681,20000
49,49,B-GPT_en_nl_sequential,sequential,108.744526734073,0.1404752630170443,30000
50,50,B-GPT_en_nl_sequential,sequential,110.38173256783143,0.1426098208185546,40000
51,51,B-GPT_en_nl_sequential,sequential,111.5225074394222,0.1440971413812545,50000
52,52,B-GPT_en_nl_sequential,sequential,112.53714642771378,0.1454200083803308,64000
53,53,B-GPT_en_nl_sequential,sequential,112.70031898252488,0.145632749651271,64010
54,54,B-GPT_en_nl_sequential,sequential,112.92749726664664,0.1459289403737244,64020
55,55,B-GPT_en_nl_sequential,sequential,113.10874472119178,0.1461652473548784,64030
56,56,B-GPT_en_nl_sequential,sequential,113.2185799002087,0.1463084483705458,64040
57,57,B-GPT_en_nl_sequential,sequential,113.3057822916132,0.1464221411885439,64050
58,58,B-GPT_en_nl_sequential,sequential,113.38437627112506,0.1465246105229792,64060
59,59,B-GPT_en_nl_sequential,sequential,113.46418159263672,0.1466286591820557,64070
60,60,B-GPT_en_nl_sequential,sequential,113.53780080775545,0.1467246425133708,64080
61,61,B-GPT_en_nl_sequential,sequential,113.59832435909875,0.1468035519675342,64090
62,62,B-GPT_en_nl_sequential,sequential,113.65260156585852,0.14687431755653,64100
63,63,B-GPT_en_nl_sequential,sequential,113.7042449231016,0.1469416491826618,64110
64,64,B-GPT_en_nl_sequential,sequential,113.74565538246944,0.1469956393513291,64120
65,65,B-GPT_en_nl_sequential,sequential,113.7806748806319,0.1470412971064301,64130
66,66,B-GPT_en_nl_sequential,sequential,113.81295744618002,0.1470833865008866,64140
67,67,B-GPT_en_nl_sequential,sequential,113.8440587941788,0.1471239358463869,64150
68,68,B-GPT_en_nl_sequential,sequential,113.87474658686357,0.147163946006341,64160
69,69,B-GPT_en_nl_sequential,sequential,113.9041411505,0.1472022700788787,64170
70,70,B-GPT_en_nl_sequential,sequential,113.93336766984788,0.1472403750584718,64180
71,71,B-GPT_en_nl_sequential,sequential,113.96227703112088,0.147278066533404,64190
72,72,B-GPT_en_nl_sequential,sequential,113.9905175652255,0.1473148860042053,64200
73,73,B-GPT_en_nl_sequential,sequential,114.23332158450464,0.1476314492627179,64300
74,74,B-GPT_en_nl_sequential,sequential,114.44879682359309,0.1479123817778267,64400
75,75,B-GPT_en_nl_sequential,sequential,114.6468933227396,0.148170656222607,64500
76,76,B-GPT_en_nl_sequential,sequential,114.833702576807,0.1484142145721082,64600
77,77,B-GPT_en_nl_sequential,sequential,115.0032495061308,0.1486352666312005,64700
78,78,B-GPT_en_nl_sequential,sequential,115.1660593089448,0.1488475349529919,64800
79,79,B-GPT_en_nl_sequential,sequential,115.32277337736308,0.1490518557723117,64900
80,80,B-GPT_en_nl_sequential,sequential,115.4698546476767,0.1492436175328249,65000
81,81,B-GPT_en_nl_sequential,sequential,116.693883077097,0.1508394824994745,66000
82,82,B-GPT_en_nl_sequential,sequential,117.59291409590388,0.1520116220285578,67000
83,83,B-GPT_en_nl_sequential,sequential,118.25829932967376,0.1528791386306046,68000
84,84,B-GPT_en_nl_sequential,sequential,118.76836038149725,0.1535441465208568,69000
85,85,B-GPT_en_nl_sequential,sequential,119.151483803381,0.1540436555454772,70000
86,86,B-GPT_en_nl_sequential,sequential,122.1311601339555,0.1579285008265391,80000
87,87,B-GPT_en_nl_sequential,sequential,124.48662662303492,0.1609995131982202,90000
88,88,B-GPT_en_nl_sequential,sequential,126.09987418291178,0.1631028346582943,100000
89,89,B-GPT_en_nl_sequential,sequential,127.05082313306912,0.164342663798004,110000
90,90,B-GPT_en_nl_sequential,sequential,127.51344879845536,0.1649458263343616,120000
91,91,B-GPT_en_nl_sequential,sequential,127.6035130018552,0.165063250328364,128000
92,92,B-GPT_en_es_simultaneous,simultaneous,756.6961695756008,0.9852622810633648,0
93,93,B-GPT_en_es_simultaneous,simultaneous,144.06291333165942,0.1865227031703512,10000
94,94,B-GPT_en_es_simultaneous,simultaneous,134.45522243523297,0.1739963786639282,20000
95,95,B-GPT_en_es_simultaneous,simultaneous,137.8033284242991,0.1783615755205985,30000
96,96,B-GPT_en_es_simultaneous,simultaneous,140.6346454418162,0.1820529927533457,40000
97,97,B-GPT_en_es_simultaneous,simultaneous,142.77602078424323,0.1848448771632897,50000
98,98,B-GPT_en_es_simultaneous,simultaneous,144.8242659005467,0.1875153401571665,64000
99,99,B-GPT_en_es_simultaneous,simultaneous,145.01942067251466,0.1877697792340477,64010
100,100,B-GPT_en_es_simultaneous,simultaneous,145.2334701275777,0.1880488528390843,64020
101,101,B-GPT_en_es_simultaneous,simultaneous,145.42181371671248,0.18829441162544,64030
102,102,B-GPT_en_es_simultaneous,simultaneous,145.55362582168416,0.188466265738832,64040
103,103,B-GPT_en_es_simultaneous,simultaneous,145.64881437873117,0.1885903707675764,64050
104,104,B-GPT_en_es_simultaneous,simultaneous,145.7233948023725,0.1886876073042666,64060
105,105,B-GPT_en_es_simultaneous,simultaneous,145.78915085403264,0.1887733387927413,64070
106,106,B-GPT_en_es_simultaneous,simultaneous,145.84855676861207,0.1888507910933664,64080
107,107,B-GPT_en_es_simultaneous,simultaneous,145.90137058478874,0.1889196487415759,64090
108,108,B-GPT_en_es_simultaneous,simultaneous,145.9521646470375,0.1889858730730606,64100
109,109,B-GPT_en_es_simultaneous,simultaneous,145.9980058808113,0.1890456400010577,64110
110,110,B-GPT_en_es_simultaneous,simultaneous,146.04273763970363,0.1891039604168235,64120
111,111,B-GPT_en_es_simultaneous,simultaneous,146.08759044125674,0.1891624386457063,64130
