,model,language_exposure,kdims,isoscore,checkpoint
0,B-GPT_en_el_sequential,sequential,756.6961695756008,0.9852622810633649,0
1,B-GPT_en_el_sequential,sequential,87.59097070221729,0.11289565932492475,10000
2,B-GPT_en_el_sequential,sequential,77.29842442975595,0.09947643341558794,20000
3,B-GPT_en_el_sequential,sequential,77.2196946730515,0.09937378705743351,30000
4,B-GPT_en_el_sequential,sequential,77.51164216125629,0.09975442263527548,40000
5,B-GPT_en_el_sequential,sequential,77.87067469024772,0.10022252241231777,50000
6,B-GPT_en_el_sequential,sequential,78.3006087952997,0.10078306231460195,64000
7,B-GPT_en_el_sequential,sequential,78.61345586871708,0.10119094637381629,64010
8,B-GPT_en_el_sequential,sequential,79.13761180393031,0.10187433090473313,64020
9,B-GPT_en_el_sequential,sequential,79.43000072336511,0.10225554201221006,64030
10,B-GPT_en_el_sequential,sequential,79.61908751544914,0.1025020697724239,64040
11,B-GPT_en_el_sequential,sequential,79.78512955414563,0.10271855222183263,64050
12,B-GPT_en_el_sequential,sequential,79.95905995202331,0.10294531936378527,64060
13,B-GPT_en_el_sequential,sequential,80.12264938339251,0.10315860415044656,64070
14,B-GPT_en_el_sequential,sequential,80.27502841203835,0.1033572730274294,64080
15,B-GPT_en_el_sequential,sequential,80.42365528844796,0.10355104991974962,64090
16,B-GPT_en_el_sequential,sequential,80.578973781812,0.10375355121487875,64100
17,B-GPT_en_el_sequential,sequential,80.72729703612906,0.10394693225049421,64110
18,B-GPT_en_el_sequential,sequential,80.85713027193175,0.10411620635193189,64120
19,B-GPT_en_el_sequential,sequential,80.98393328364645,0.10428152970488455,64130
20,B-GPT_en_el_sequential,sequential,81.09928895670582,0.1044319282356008,64140
21,B-GPT_en_el_sequential,sequential,81.21161033820806,0.10457837071474324,64150
22,B-GPT_en_el_sequential,sequential,81.32514399702991,0.10472639373797901,64160
23,B-GPT_en_el_sequential,sequential,81.4302386904215,0.10486341419872426,64170
24,B-GPT_en_el_sequential,sequential,81.52537679399691,0.10498745344719285,64180
25,B-GPT_en_el_sequential,sequential,81.61848049177975,0.1051088402761144,64190
26,B-GPT_en_el_sequential,sequential,81.71197853480648,0.1052307412448585,64200
27,B-GPT_en_el_sequential,sequential,82.49151750592667,0.10624708931672316,64300
28,B-GPT_en_el_sequential,sequential,83.04533829646341,0.10696915032133432,64400
29,B-GPT_en_el_sequential,sequential,83.46445571337803,0.10751558763152286,64500
30,B-GPT_en_el_sequential,sequential,83.79842525792232,0.10795101076652193,64600
31,B-GPT_en_el_sequential,sequential,84.08172045329698,0.10832036564967013,64700
32,B-GPT_en_el_sequential,sequential,84.33113325372902,0.10864554531125035,64800
33,B-GPT_en_el_sequential,sequential,84.54293326551877,0.1089216861349658,64900
34,B-GPT_en_el_sequential,sequential,84.7255732587336,0.10915980868153013,65000
35,B-GPT_en_el_sequential,sequential,85.96020806237435,0.11076950203699393,66000
36,B-GPT_en_el_sequential,sequential,86.67537561428644,0.11170192387781804,67000
37,B-GPT_en_el_sequential,sequential,87.24123402398146,0.11243967930114923,68000
38,B-GPT_en_el_sequential,sequential,87.74676486918331,0.1130987807942416,69000
39,B-GPT_en_el_sequential,sequential,88.24511866379827,0.11374852498539538,70000
40,B-GPT_en_el_sequential,sequential,92.29455551722117,0.11902810367303933,80000
41,B-GPT_en_el_sequential,sequential,95.01438866634392,0.12257417036029195,90000
42,B-GPT_en_el_sequential,sequential,96.97684417538237,0.12513278249723905,100000
43,B-GPT_en_el_sequential,sequential,98.31717260119513,0.1268802771853913,110000
44,B-GPT_en_el_sequential,sequential,99.06216450335722,0.12785158344635883,120000
45,B-GPT_en_el_sequential,sequential,99.24083007559773,0.12808452421851071,128000
46,B-GPT_en_pl_simultaneous,simultaneous,756.6961695756008,0.9852622810633649,0
47,B-GPT_en_pl_simultaneous,simultaneous,106.9075714068508,0.13808027562822792,10000
48,B-GPT_en_pl_simultaneous,simultaneous,99.19437700734987,0.1280239595923727,20000
49,B-GPT_en_pl_simultaneous,simultaneous,101.57660339058128,0.1311298610046692,30000
50,B-GPT_en_pl_simultaneous,simultaneous,103.41560710359197,0.13352751903988522,40000
51,B-GPT_en_el_sequential,sequential,756.6961695756008,0.9852622810633649,0
52,B-GPT_en_el_sequential,sequential,87.59097070221729,0.11289565932492475,10000
53,B-GPT_en_el_sequential,sequential,77.29842442975595,0.09947643341558794,20000
54,B-GPT_en_el_sequential,sequential,77.2196946730515,0.09937378705743351,30000
55,B-GPT_en_el_sequential,sequential,77.51164216125629,0.09975442263527548,40000
56,B-GPT_en_el_sequential,sequential,77.87067469024772,0.10022252241231777,50000
57,B-GPT_en_el_sequential,sequential,78.3006087952997,0.10078306231460195,64000
58,B-GPT_en_el_sequential,sequential,78.61345586871708,0.10119094637381629,64010
59,B-GPT_en_el_sequential,sequential,79.13761180393031,0.10187433090473313,64020
60,B-GPT_en_el_sequential,sequential,79.43000072336511,0.10225554201221006,64030
61,B-GPT_en_el_sequential,sequential,79.61908751544914,0.1025020697724239,64040
62,B-GPT_en_el_sequential,sequential,79.78512955414563,0.10271855222183263,64050
63,B-GPT_en_el_sequential,sequential,79.95905995202331,0.10294531936378527,64060
64,B-GPT_en_el_sequential,sequential,80.12264938339251,0.10315860415044656,64070
65,B-GPT_en_el_sequential,sequential,80.27502841203835,0.1033572730274294,64080
66,B-GPT_en_el_sequential,sequential,80.42365528844796,0.10355104991974962,64090
67,B-GPT_en_el_sequential,sequential,80.578973781812,0.10375355121487875,64100
68,B-GPT_en_el_sequential,sequential,80.72729703612906,0.10394693225049421,64110
69,B-GPT_en_el_sequential,sequential,80.85713027193175,0.10411620635193189,64120
70,B-GPT_en_el_sequential,sequential,80.98393328364645,0.10428152970488455,64130
71,B-GPT_en_el_sequential,sequential,81.09928895670582,0.1044319282356008,64140
72,B-GPT_en_el_sequential,sequential,81.21161033820806,0.10457837071474324,64150
73,B-GPT_en_el_sequential,sequential,81.32514399702991,0.10472639373797901,64160
74,B-GPT_en_el_sequential,sequential,81.4302386904215,0.10486341419872426,64170
75,B-GPT_en_el_sequential,sequential,81.52537679399691,0.10498745344719285,64180
76,B-GPT_en_el_sequential,sequential,81.61848049177975,0.1051088402761144,64190
77,B-GPT_en_el_sequential,sequential,81.71197853480648,0.1052307412448585,64200
78,B-GPT_en_el_sequential,sequential,82.49151750592667,0.10624708931672316,64300
79,B-GPT_en_el_sequential,sequential,83.04533829646341,0.10696915032133432,64400
80,B-GPT_en_el_sequential,sequential,83.46445571337803,0.10751558763152286,64500
81,B-GPT_en_el_sequential,sequential,83.79842525792232,0.10795101076652193,64600
82,B-GPT_en_el_sequential,sequential,84.08172045329698,0.10832036564967013,64700
83,B-GPT_en_el_sequential,sequential,84.33113325372902,0.10864554531125035,64800
84,B-GPT_en_el_sequential,sequential,84.54293326551877,0.1089216861349658,64900
85,B-GPT_en_el_sequential,sequential,84.7255732587336,0.10915980868153013,65000
86,B-GPT_en_el_sequential,sequential,85.96020806237435,0.11076950203699393,66000
87,B-GPT_en_el_sequential,sequential,86.67537561428644,0.11170192387781804,67000
88,B-GPT_en_el_sequential,sequential,87.24123402398146,0.11243967930114923,68000
89,B-GPT_en_el_sequential,sequential,87.74676486918331,0.1130987807942416,69000
90,B-GPT_en_el_sequential,sequential,88.24511866379827,0.11374852498539538,70000
91,B-GPT_en_el_sequential,sequential,92.29455551722117,0.11902810367303933,80000
92,B-GPT_en_el_sequential,sequential,95.01438866634392,0.12257417036029195,90000
93,B-GPT_en_el_sequential,sequential,96.97684417538237,0.12513278249723905,100000
94,B-GPT_en_el_sequential,sequential,98.31717260119513,0.1268802771853913,110000
95,B-GPT_en_el_sequential,sequential,99.06216450335722,0.12785158344635883,120000
